번호,금융용어,정의,비유,왜 중요?,오해 교정,예시
,금융의 탈집중화,대형 금융기관 중심에서 분산된 금융 네트워크로 이동하는 현상,‘중앙집중형에서 분산형으로 변환’,리스크 분산과 금융혁신 촉진,규제 미비 시 책임 소재 불명확,블록체인 기반 DeFi는 금융의 탈집중화를 대표한다.
,금융제도,금융거래의 규칙·관행·조직을 포괄하는 제도적 틀,‘금융의 룰북’,금융시장 질서 유지의 기반,단순 법규가 아니라 제도·조직·문화 포함,"금융제도는 중앙은행, 감독기구, 법체계로 구성된다."
,금융중개지원대출제도,중앙은행이 시중은행에 낮은 금리로 자금을 빌려줘 특정 부문 대출을 유도하는 제도,‘은행 대출에 보조금 붙여주는 제도’,중소기업 등 실물경제 자금공급 확대,일반 금리인하 정책과 다름,한국은행은 중소기업 대출을 늘리기 위해 금융중개지원대출을 시행했다.
,금융채,금융기관이 자금 조달을 위해 발행하는 채권,‘은행이 발행하는 빚 문서’,예금 이외의 자금 확보 수단,국채나 회사채와 혼동 금지,시중은행은 장기자금 확보를 위해 금융채를 발행했다.
,금융통화위원회,중앙은행의 통화정책을 결정하는 최고 의사결정기구,‘금리를 조정하는 나라의 두뇌’,기준금리 결정 및 금융안정 유지,국회의원처럼 입법기관은 아님,한국은행 금융통화위원회는 기준금리를 3.5%로 동결했다.
,금전신탁,고객이 맡긴 자금을 은행이 운용해 수익을 돌려주는 금융상품,‘은행에 맡기는 투자금’,안정적 자산운용 수단,예금과 달리 원금보장이 없음,은행의 금전신탁 상품은 금리보다 높은 수익을 기대할 수 있다.
,기대인플레이션,경제주체들이 예상하는 미래의 물가상승률,‘앞으로 물가가 오를 거라는 심리’,실제 물가와 금리에 큰 영향,현재 물가와 혼동 금지,기대인플레이션이 높아지면 임금협상과 금리 상승 압력이 커진다.
,기본자본,은행의 자기자본 중 손실흡수 능력이 가장 높은 자본,‘은행의 튼튼한 기초 체력’,BIS 비율 산정의 핵심 요소,보통주자본과 후순위채 구별 필요,은행의 기본자본비율이 10%를 넘으면 건전하다고 본다.
,Tier 1,은행의 자기자본 중 손실흡수 능력이 가장 높은 자본,‘은행의 튼튼한 기초 체력’,BIS 비율 산정의 핵심 요소,보통주자본과 후순위채 구별 필요,은행의 기본자본비율이 10%를 넘으면 건전하다고 본다.
,기업,이윤을 목적으로 재화나 서비스를 생산·판매하는 경제주체,‘이윤을 창출하는 경제의 엔진’,경제성장과 고용 창출의 핵심,공공기관과 구분 필요,현대자동차와 삼성전자는 대표적인 민간 기업이다.
,기업 대 소비자,기업이 일반 소비자에게 직접 상품이나 서비스를 판매하는 형태,‘기업이 고객에게 직접 파는 구조’,"전자상거래, 플랫폼 산업의 기본 구조",기업 간 거래(B2B)와 구별,쿠팡과 네이버쇼핑은 대표적인 B2C 플랫폼이다.
,Business to Customer,기업이 일반 소비자에게 직접 상품이나 서비스를 판매하는 형태,‘기업이 고객에게 직접 파는 구조’,"전자상거래, 플랫폼 산업의 기본 구조",기업 간 거래(B2B)와 구별,쿠팡과 네이버쇼핑은 대표적인 B2C 플랫폼이다.
,B2C,기업이 일반 소비자에게 직접 상품이나 서비스를 판매하는 형태,‘기업이 고객에게 직접 파는 구조’,"전자상거래, 플랫폼 산업의 기본 구조",기업 간 거래(B2B)와 구별,쿠팡과 네이버쇼핑은 대표적인 B2C 플랫폼이다.
,기업 대 기업,기업 간 상품이나 서비스를 거래하는 형태,‘기업끼리 하는 도매거래’,산업공급망과 생산활동의 핵심,소비자 대상 거래와 다름,부품 제조사는 완성차 기업과 B2B 계약을 맺는다.
,Business to Business,기업 간 상품이나 서비스를 거래하는 형태,‘기업끼리 하는 도매거래’,산업공급망과 생산활동의 핵심,소비자 대상 거래와 다름,부품 제조사는 완성차 기업과 B2B 계약을 맺는다.
,B2B,기업 간 상품이나 서비스를 거래하는 형태,‘기업끼리 하는 도매거래’,산업공급망과 생산활동의 핵심,소비자 대상 거래와 다름,부품 제조사는 완성차 기업과 B2B 계약을 맺는다.
,기업개인간 지급결제시스템,기업과 개인 간 거래에서 자금의 수취·지급을 처리하는 시스템,‘기업과 개인 간 돈의 다리’,"급여, 결제, 환불 등 다양한 거래 처리",은행 내부 송금 시스템과 구별,카드결제 및 급여이체는 기업개인간 지급결제시스템의 예다.
,B2C 지급결제시스템,기업과 개인 간 거래에서 자금의 수취·지급을 처리하는 시스템,‘기업과 개인 간 돈의 다리’,"급여, 결제, 환불 등 다양한 거래 처리",은행 내부 송금 시스템과 구별,카드결제 및 급여이체는 기업개인간 지급결제시스템의 예다.
,기업간 지급결제시스템,기업 간 거래대금을 이체하거나 결제하는 시스템,‘기업 간 돈이 오가는 회선망’,상거래 신뢰성과 효율성 향상,단순 계좌이체가 아님,대기업은 협력업체 대금 결제 시 기업간 결제시스템을 이용한다.
,B2B 지급결제시스템,기업 간 거래대금을 이체하거나 결제하는 시스템,‘기업 간 돈이 오가는 회선망’,상거래 신뢰성과 효율성 향상,단순 계좌이체가 아님,대기업은 협력업체 대금 결제 시 기업간 결제시스템을 이용한다.
,기업경기실사지수,기업을 대상으로 경기 전망을 조사해 수치로 나타낸 지표,‘기업 심리의 체온계’,경기 선행지표로 활용,주관적 응답 기반이므로 변동성 있음,제조업 BSI가 100 이하이면 경기 위축을 의미한다.
,BSI,기업을 대상으로 경기 전망을 조사해 수치로 나타낸 지표,‘기업 심리의 체온계’,경기 선행지표로 활용,주관적 응답 기반이므로 변동성 있음,제조업 BSI가 100 이하이면 경기 위축을 의미한다.
,기업공개,비상장회사가 주식을 공개해 일반 투자자에게 자금을 모집하는 절차,‘회사를 공개시장에 상장하는 과정’,자본조달과 경영 투명성 확보,단순히 주식발행이 아니라 공시 의무 동반,카카오뱅크는 IPO를 통해 코스피에 상장했다.
,기업어음,기업이 단기 자금조달을 위해 발행하는 무담보 어음,‘단기 빚을 나타내는 차용증’,유동성 확보와 자금 운용 수단,회사채보다 만기가 짧고 보증 약함,대기업은 운영자금 확보를 위해 기업어음을 발행했다.
,CP,기업이 단기 자금조달을 위해 발행하는 무담보 어음,‘단기 빚을 나타내는 차용증’,유동성 확보와 자금 운용 수단,회사채보다 만기가 짧고 보증 약함,대기업은 운영자금 확보를 위해 기업어음을 발행했다.
,기저효과,전년도의 낮거나 높은 기준치가 올해의 성장률이나 물가변동률에 영향을 주는 현상,‘비교 대상이 달라서 생기는 착시’,경제지표 해석 시 필수 고려요소,실제 경기 변화와 혼동 금지,작년 물가가 낮았기 때문에 올해 상승률이 높게 보이는 기저효과가 나타났다.
,기준순환일,경기순환의 각 국면(정점·저점)의 기준이 되는 날짜,‘경기 사이클의 표시점’,경기 판단과 정책 타이밍 설정에 필요,발표 시점과 실제 경기 차이 존재,한국은행은 2023년 2분기를 기준순환 저점으로 발표했다.
,기준환율,외국통화 1단위당 원화로 표시한 기준 가격,‘환율의 표준 눈금’,은행 간 거래와 환전 시 기준점 제공,실제 적용 환율과 다를 수 있음,"오늘의 기준환율은 1달러당 1,350원이다."
,기초가격,생산자가 세금이나 보조금을 제외하고 실제로 받는 가격,‘생산자가 손에 쥐는 순가격’,국민계정에서 생산액 산정 기준,시장가격과 다를 수 있음,부가세 제외 후의 가격은 기초가격으로 계산된다.
,기축통화,국제거래와 외환보유에 기준으로 사용되는 통화,‘세계 경제의 중심 통화’,국제금융 안정성과 유동성 확보,강대국 통화만이 기축통화는 아님,달러는 현재 대표적인 기축통화로 사용되고 있다.
,기타기본자본,은행 자기자본 중 보통주 외 손실흡수 능력이 높은 자본(신종자본증권 등),‘은행의 보조 근육’,금융건전성 평가의 핵심 구성요소,후순위채와 다름 — 손실흡수 기능이 있음,은행은 BIS비율 유지를 위해 기타기본자본을 확충했다.
,Additional Tier 1,은행 자기자본 중 보통주 외 손실흡수 능력이 높은 자본(신종자본증권 등),‘은행의 보조 근육’,금융건전성 평가의 핵심 구성요소,후순위채와 다름 — 손실흡수 기능이 있음,은행은 BIS비율 유지를 위해 기타기본자본을 확충했다.
,기펜재,가격이 오르면 오히려 수요가 증가하는 특이한 재화,‘가격이 비쌀수록 더 사게 되는 역설적 상품’,소비자행동 이론의 예외 사례,사치재와 혼동 금지 — 생필품 중 저소득층 중심,빵이 비싸져도 쌀을 더 사지 못해 오히려 빵을 더 사는 현상은 기펜재 사례다.
,기회비용,선택한 것 때문에 포기한 대안의 가치,‘놓친 기회의 값’,합리적 의사결정의 핵심 개념,단순 비용이 아닌 ‘포기한 최대이익’,대학 진학의 기회비용은 취업해 벌 수 있었던 소득이다.
,긴급수입제한조치,수입 급증으로 국내 산업이 피해를 입을 때 한시적으로 수입을 제한하는 조치,‘무역의 안전장치’,국내 산업 보호 및 구조조정 시간 확보,보호무역과 구별 — 임시조치,정부는 철강 수입 급증에 대응해 세이프가드를 발동했다.
,긴축정책,정부가 지출을 줄이거나 세금을 늘려 경기 과열을 억제하는 정책,‘허리띠를 졸라매는 재정정책’,인플레이션 억제 및 재정건전성 유지,경기침체기에는 부작용 발생,정부는 재정적자 축소를 위해 긴축정책을 시행했다.
,꼬리위험,발생 가능성은 낮지만 일단 발생하면 충격이 큰 극단적 위험,‘작지만 무서운 블랙스완’,금융리스크 관리의 핵심 개념,예측 불가능하다고 방치하면 안 됨,코로나19 팬데믹은 금융시장에서 전형적인 꼬리위험 사례였다.
,낙수효과,상위층의 소득 증가가 투자와 고용을 통해 하위층에도 혜택을 준다는 이론,‘부자가 쓰면 서민에게 떨어지는 물방울’,세제정책과 소득분배 논의의 핵심,실제로 효과가 제한적이라는 비판 존재,법인세 인하가 낙수효과를 유발한다는 주장도 있다.
,낙인효과,특정 집단이나 개인에 부정적 이미지가 고착되는 현상,‘찍히면 벗어나기 어려운 사회적 낙인’,실업·범죄·빈곤 문제 분석에 활용,개인의 본질적 능력과는 별개,장기 실업자는 낙인효과로 재취업이 어려워질 수 있다.
,난외거래,"재무제표에 표시되지 않는 부외거래로, 잠재적 위험을 가진 거래",‘장부 밖의 그림자 거래’,기업의 투명성과 건전성 평가에 중요,불법은 아니지만 투명성 저하 가능,금융위는 난외거래 규모 공개를 의무화했다.
,납부자자동이체,세금이나 공과금을 납부자가 지정한 계좌에서 자동으로 이체하는 제도,‘자동납부 서비스’,납세 편의성과 행정 효율성 향상,수납기관 자동이체와 구분 필요,재산세 납부를 위해 납부자자동이체를 신청했다.
,내국신용장,수출에 준해 국내 거래에 적용되는 신용장,‘국내용 수출신용장’,무역실적 인정 및 세제 혜택 지원,해외송금이 없는 점이 특징,중소기업은 내국신용장을 이용해 수출실적을 인정받았다.
,내부등급법,은행이 자체 신용평가모형으로 부실위험을 측정해 자기자본을 산정하는 방식,‘은행이 직접 점수를 매기는 리스크 평가법’,위험기반자본규제(BaselⅡ)의 핵심,감독기관의 승인 필요,대형은행은 내부등급법을 적용해 자본적정성을 평가한다.
,내부자금,외부 차입이 아닌 기업 내부에서 조달한 자금(이익잉여금 등),‘스스로 버는 회사의 연료’,자금조달 안정성과 재무자립도 향상,외부자금이 필요 없다는 뜻은 아님,기업은 내부자금으로 연구개발 투자를 확대했다.
,노동생산성,노동 투입 대비 산출량을 나타내는 생산성 지표,‘한 사람이 만들어내는 부가가치의 양’,경제성장과 임금정책의 기초,단순 근무시간과는 다름,노동생산성이 높아지면 실질임금 상승이 가능하다.
,노동생산성지수,노동생산성의 변화를 시계열로 나타낸 지표,‘노동 효율의 성장률 그래프’,산업별 효율성 비교 및 정책평가 지표,절대수준이 아닌 상대변화율,제조업 노동생산성지수가 전년 대비 3% 상승했다.
,노득소득분배율,국민소득 중 임금 등 노동소득이 차지하는 비율,‘국가소득 중 근로자 몫’,소득불평등과 경기 분석에 활용,높다고 반드시 복지 개선은 아님,노동소득분배율이 하락하면 소득격차가 커진다.
,녹색GDP,환경오염 비용을 차감한 순수한 경제성장 지표,‘환경비용을 반영한 진짜 GDP’,지속가능한 성장 평가에 활용,단순 GDP와 직접 비교 어려움,산림 훼손 비용을 반영한 녹색GDP는 기존보다 1% 낮게 나타났다.
,녹색기후기금,개발도상국의 기후변화 대응을 지원하기 위해 설립된 UN 산하 기금,‘지구 온난화 대응의 공동 저금통’,국제기후협력의 핵심 재원,단순 원조가 아닌 프로젝트 기반 지원,GCF 사무국은 인천 송도에 위치해 있다.
,GCF,개발도상국의 기후변화 대응을 지원하기 위해 설립된 UN 산하 기금,‘지구 온난화 대응의 공동 저금통’,국제기후협력의 핵심 재원,단순 원조가 아닌 프로젝트 기반 지원,GCF 사무국은 인천 송도에 위치해 있다.
,단기금융시장,만기 1년 이하의 단기자금이 거래되는 금융시장,‘짧은 돈이 오가는 시장’,자금 유동성과 금리 수준 결정,장기자본시장과 구별,"CD, CP, 환매조건부채권(RP) 등이 단기금융시장 상품이다."
,단리,원금에만 이자가 붙는 방식,‘이자 위에 이자가 붙지 않는 단순 계산’,단기 금융상품이나 단순 계산에 유용,복리보다 수익이 낮음,예금이 단리로 계산되면 매년 원금에만 이자가 붙는다.
,복리,이자에 다시 이자가 붙는 방식,‘이자 위에 또 이자 쌓기’,장기투자 시 수익 극대화,단리와 혼동 금지,복리로 10년간 투자하면 단리보다 훨씬 큰 수익을 얻을 수 있다.
,단위노동비용,생산물 한 단위를 만드는 데 들어간 노동비용,‘한 개 만들 때 드는 인건비’,생산성·경쟁력 평가 핵심 지표,임금 수준과 생산성 모두 고려해야 함,단위노동비용이 상승하면 수출 경쟁력이 떨어질 수 있다.
,단일금리방식,예금 또는 대출상품에 하나의 동일한 금리를 적용하는 방식,‘모두에게 같은 이자율’,단순하고 예측 가능한 금융구조,차등금리제와 구별,일부 정책자금대출은 단일금리방식을 적용한다.
,복수금리방식,동일 상품이라도 조건에 따라 여러 금리를 적용하는 방식,‘조건별로 다른 이자율’,고객별 신용도 반영 및 경쟁 촉진,단일금리보다 복잡하지만 현실적,신용등급에 따라 복수금리방식으로 대출금리가 결정된다.
,당일결제,거래 당일에 결제가 완료되는 방식,‘오늘 사고 오늘 돈 주는 결제’,유동성 리스크 최소화,익일결제보다 자금부담 큼,주식시장의 현금매매는 당일결제로 처리된다.
,익일결제,거래 다음 영업일에 결제되는 방식,‘오늘 사고 내일 돈 내는 결제’,금융시장 표준 결제주기,당일결제보다 유동성 여유 있음,외환거래는 일반적으로 익일결제로 이루어진다.
,익익일결제,거래 후 이틀 뒤에 결제되는 방식,"‘오늘 거래, 모레 결제’",국제 금융시장의 표준 결제주기(T+2),결제지연 리스크 존재,주식거래는 익익일결제(T+2) 방식으로 처리된다.
,대기성 여수신제도,은행이 결제자금 부족에 대비해 일시적으로 운용하는 예금·대출제도,‘비상금 통장 제도’,결제시스템 안정화에 기여,"일시 유동성 관리용, 장기대출 아님",은행은 결제자금 부족 시 대기성 여수신으로 보완한다.
,대량지금,여러 건의 지급을 한 번에 처리하는 결제방식,‘묶음 송금 시스템’,기업의 급여·세금 납부 등 효율화,단건송금과 구분,공공기관은 급여를 대량지급 시스템으로 처리한다.
,대손충당금적립비율,금융기관이 발생할 수 있는 부실채권에 대비해 충당금을 쌓는 비율,‘나쁜 빚 대비용 비상금 비율’,건전성 평가의 핵심지표,실제 손실 발생액과 다를 수 있음,은행의 대손충당금적립비율이 높을수록 부실대응 능력이 크다.
,대안정기,물가·환율·금리가 장기간 안정된 경제상태,‘경제의 무풍지대’,장기 투자와 소비심리 안정,성장둔화가 동반될 수 있음,1990년대 미국은 ‘대안정기(Great Moderation)’로 불렸다.
,대외의존도,경제활동에서 해외 부문이 차지하는 비율,‘해외에 기대는 경제 비중’,개방경제의 구조적 취약성 분석,높다고 반드시 위험은 아님,한국의 대외의존도는 GDP의 80% 수준에 달한다.
,수출입의존도,국내총생산 대비 수출입 합계의 비율,‘무역이 경제에 미치는 비중’,개방도 및 경기민감도 판단,무역의존도와 같은 개념 아님,한국은 수출입의존도가 높은 개방경제 구조를 가진다.
,무역의존도,GDP 대비 수출입 총액의 비율,‘국가경제의 무역 의존성’,대외충격 민감도 판단,무역흑자 여부와 무관,무역의존도가 높을수록 글로벌 경기 변동에 취약하다.
,대외지금준비자산,외환보유액 중 즉시 지급 가능한 형태의 외화자산,‘나라의 외화 비상금’,외환위기 대응력 지표,전체 외환보유액과 다름,"한국의 대외지급준비자산은 약 4,200억 달러 수준이다."
,대체비용리스크,거래 상대방이 계약을 이행하지 않아 더 높은 비용으로 거래해야 하는 위험,‘상대방 부도로 생기는 추가비용 위험’,금융거래 리스크 관리의 핵심,신용리스크와 중복 아님,거래상대가 계약불이행 시 대체비용리스크가 발생한다.
,대체재,한 상품을 다른 상품으로 대신할 수 있는 재화,‘커피 대신 차처럼 바꿔 쓸 수 있는 상품’,수요 탄력성 및 시장경쟁 분석,보완재와 반대 개념,버터와 마가린은 대표적인 대체재다.
,대출금 출저전환,기존 대출을 상환하지 않고 새로운 대출로 전환하는 행위,‘빚을 새 빚으로 갚기’,유동성 확보 및 부채관리 수단,부채누적 위험 존재,기업은 만기 도래 대출을 출저전환으로 연장했다.
,헷지,투자 등을 진행 할 때 손실 위험을 감소하기 위해 손실이 발생하면 이득을 보는 분야에 투자하는 것,비가 올지 몰라 우산을 챙기는 것,투자 시 손실 위험도를 줄일 수 있음,헷지는 이익을 내기 위한 투자가 아니라 손실을 줄이는 투자,달러 환율 손해를 막기 위해 미리 현재 가격으로 달라를 구매해둠
,인플레이션,물가수준이 지속적으로 상승하는 현상,"예전엔 1,000원으로 과자 2개 샀는데, 지금은 1개밖에 못 사는 것",일반 소비자는 생활비 부담과 저축 가치가 줄어들고 근로자들의 임금 인상 욕구가 높아짐,인플레이션이 연 2% 이내의 적당한 수준으로 진행된다면 경제 성장에 도움이 됨,한국은행은 연 5% 물가 상승을 기록하며 한국이 인플레이션에 접어들었다고 고시하였다.
,관세전쟁,"한 나라가 자국 산업을 보호하려고 수입품에 높은 세금(관세) 을 매기자,
상대국도 보복 관세로 대응하면서 벌어지는 경제적 갈등",반찬을 나눠먹던 친구들이 서로에게 반찬값을 매기며 다투는것,무역 축소로 이어지기 쉽고 이는 수출입에 대한 비용이 증가하여 경제 성장에 악화를 야기함,관세 전쟁은 대부분 승자가 없이 부담만 늘어나는 결과를 초래함,미국 중국 간 관세전쟁은 서로의 수출입 품에 높은 관세를 매기며 이어오고 있다.
,공포탐욕지수,미국 CNN이 만든 시장을 투자자들이 바라보는 시각을 수치화 한 지수 100이 시장 과열 상태를 뜻함,"놀이공원 롤러코스터 기준으로 공포지수는 ""무서워서 안타는 사람"" 탐욕지수는 ""신나서 줄서있는사람""을 보여줌","투자자가 새로운 시장에 투자를 고민하거나, 매수 매도 타이밍을 선정하기 위한 참고 지표로 활용",지수가 높으면 무조건 팔아야 하는 것은 아님. 해당 지표가 장기적인지 단기적 인지에 대한 고려가 반영 되어있지는 않음,"코로나 팬데믹 시기에 공포지수 10 이하로 대부분의 투자자들이 주식시장에서 매도세가 이어지고, 이후 회복기에는 탐욕지수 90 이상의 시장 과열을 보여주었다."
,가상자산시장,블록체인 기술을 기반으로 한 디지털 자산(코인·토큰 등) 이 거래되는 시장,중앙은행이 없는 인터넷 속의 주식시장,높은 수익성과 동시에 변동성 위험도 매우 큼,"가상자산의 거래는 대부분 합법적이지만, 불법 거래가 일부 존재하는 것",가상자산시장에 가장 핵심적인 자산은 비트코인으로 디지털 금이라고도 불린다.
,온체인 대출,블록체인 네트워크 상에서 스마트계약을 활용해 중개자 없이 이루어지는 디지털 자산 대출 구조,은행 창구 대신 프로그램 코드가 자동으로 돈을 빌려주는 탈중앙 금융 구조,"신용심사 없이 담보 기반으로 즉시 대출이 가능하며, 탈중앙화·투명성·접근성 향상의 핵심 기술 영역","중앙은행이 통제하는 대출 시스템으로 혼동되지만, 실제론 개인 간(P2P) 스마트계약으로 운영되는 분산형 서비스",사용자가 이더리움을 담보로 맡기고 DAI 스테이블코인을 빌리는 MakerDAO 대출 프로토콜 이용 사례가 있다.
,활성 차입자,금융 또는 디파이(DeFi) 시장에서 대출 자산을 적극적으로 운용·변경하며 수익을 추구하는 차입자 유형,"단순히 돈을 빌려 쓰는 사람이 아니라, 빌린 자금을 투자 수단으로 돌려쓰는 ‘재테크형 대출 사용자’","시장 유동성 증가와 자금 흐름 촉진에 기여하며, 레버리지 전략 및 수익 구조 다변화의 핵심 참여자 역할","단순한 고위험 투자자나 과도한 부채자와 동일시되지만, 전략적 차입과 상환을 반복하며 효율적 자금 운용을 지향하는 투자자 유형","온체인 대출 플랫폼에서 담보 자산을 활용해 스테이블코인을 빌린 뒤,
이를 다시 이자 수익형 풀에 예치하는 Aave 프로토콜 내 적극적 차입 활동 사례가 있다."
,스마트 계약,블록체인 상에서 조건이 충족되면 자동으로 실행되는 프로그램 코드 기반 계약,사람이 개입하지 않아도 자동으로 거래·계약을 수행하는 디지털 계약서,"탈중앙화·신뢰성 확보와 중개 비용 절감, 거래 자동화에 핵심 역할","법적 계약과 동일시되지만, 법적 효력은 관할법에 따라 다르며 코드 실행 중심의 자동화 수단",디파이(DeFi) 플랫폼에서 사용자가 담보를 맡기면 자동으로 대출·이자 계산·청산이 진행되는 Aave 스마트 계약이 예시이다.
,디파이,블록체인 기술 기반으로 중개자 없이 금융 서비스를 제공하는 탈중앙화 금융 생태계,은행 없이 스마트 콘트랙트와 P2P 거래로 이루어지는 온라인 금융 시스템,"신뢰 없는 환경에서도 대출, 예치, 거래, 파생상품 등 금융 활동 가능하며 접근성과 투명성 제공","기존 은행과 동일한 안전성을 가진다고 생각하지만, 코드 오류·시장 변동성에 따른 위험 존재","사용자가 이더리움을 담보로 스테이블코인을 빌리고, 이를 유동성 풀에 예치하여 이자 수익을 얻는 Aave 플랫폼 등이 해당된다."
,DeFi,블록체인 기술 기반으로 중개자 없이 금융 서비스를 제공하는 탈중앙화 금융 생태계,은행 없이 스마트 콘트랙트와 P2P 거래로 이루어지는 온라인 금융 시스템,"신뢰 없는 환경에서도 대출, 예치, 거래, 파생상품 등 금융 활동 가능하며 접근성과 투명성 제공","기존 은행과 동일한 안전성을 가진다고 생각하지만, 코드 오류·시장 변동성에 따른 위험 존재","사용자가 이더리움을 담보로 스테이블코인을 빌리고, 이를 유동성 풀에 예치하여 이자 수익을 얻는 Aave 플랫폼 등이 해당된다."
,전년 동기 대비 증가율,특정 지표가 전년도 같은 기간 대비 얼마나 변화했는지 비율로 나타내는 성장률,작년 같은 달과 비교해서 성적이 얼마나 올랐는지 확인하는 ‘성장 점수’,계절·월별 변동을 제거하고 장기 추세와 성장 정도를 직관적으로 파악하는 핵심 지표,"단순 증가액과 혼동되지만, 변화율(%)로 표시되므로 규모와 무관하게 성장 정도를 보여줌","한 기업의 2025년 3월 매출이 120억, 2024년 3월 매출이 100억일 때,
전년 동기 대비 증가율 = 20% 성장이라 표현한다."
,갑기금,국가나 지방자치단체가 조성하여 특정 목적(산업 육성·기술 개발 등)에 사용하는 공공성 자금,정부가 경제의 특정 분야를 키우기 위해 운용하는 ‘지원용 공동 지갑’,민간 자본이 투자하기 어려운 영역에 자금을 공급하여 산업 경쟁력 강화와 공공 이익 실현에 기여,"일반 투자펀드처럼 수익만을 목적으로 운용된다고 생각하지만,
실제로는 정책 목적(고용 창출·기술 지원 등) 이 우선되는 정책성 자금",중소벤처기업부가 창업·벤처 활성화를 위해 모태펀드(갑기금) 출자금을 기반으로 민간 벤처펀드에 투자하였다.
,Capital A,국가나 지방자치단체가 조성하여 특정 목적(산업 육성·기술 개발 등)에 사용하는 공공성 자금,정부가 경제의 특정 분야를 키우기 위해 운용하는 ‘지원용 공동 지갑’,민간 자본이 투자하기 어려운 영역에 자금을 공급하여 산업 경쟁력 강화와 공공 이익 실현에 기여,"일반 투자펀드처럼 수익만을 목적으로 운용된다고 생각하지만,
실제로는 정책 목적(고용 창출·기술 지원 등) 이 우선되는 정책성 자금",중소벤처기업부가 창업·벤처 활성화를 위해 모태펀드(갑기금) 출자금을 기반으로 민간 벤처펀드에 투자하였다.
,을기금,"정부가 출자한 모태펀드(갑기금) 자금을 받아
민간 벤처캐피털(VC) 이 운용하는 자(子)펀드 구조의 투자 자금","정부가 씨앗자금(갑기금)을 주고, 민간이 이를 실제로 투자·운용하는 ‘실행형 펀드’","정책 자금이 시장으로 흘러가도록 연결하는 정부-민간 간의 가교 역할,
창업·벤처기업의 성장 자금 공급 핵심 채널","갑기금과 동일한 공공기금으로 혼동되지만, 을기금은 민간 운용사가 실제 투자 결정을 내리는 실행 펀드","모태펀드가 100억 원을 출자하고, 민간 VC가 200억 원을 매칭해 조성한
창업 초기기업 투자용 을기금(총 300억 원 규모) 운용 하였다."
,생산자물가지수,기업이 상품이나 서비스를 생산해 도매상이나 소매상에 판매할 때의 가격 수준을 나타내는 지표,"소비자가 물건을 사기 전, 가게 창고에서 형성되는 가격의 체온계",생산 비용 상승이 향후 소비자물가로 전이되기 때문에 인플레이션의 선행 신호로 활용되는 지표,"소비자물가와 동일하다고 생각하기 쉽지만, 생산자물가는 유통 이전 단계의 가격을 의미",최근 국제 원자재 가격 상승으로 9월 생산자물가가 전년 대비 3% 올랐다.
,담보인정비율,담보로 제공된 자산 가치 대비 금융기관이 빌려주는 금액의 비율,집값 중 은행이 빌려주는 비율을 보여주는 ‘대출 허용선’의 자,대출 가능 한도와 금융시장의 건전성을 결정하는 부동산·대출 규제의 핵심 지표,"LTV가 높다고 무조건 이득은 아니며, 부채 부담과 상환 리스크가 함께 커짐",아파트 가격이 5억 원일 때 LTV 60%가 적용되면 최대 3억 원까지 대출이 가능하다.
,LTV,담보로 제공된 자산 가치 대비 금융기관이 빌려주는 금액의 비율,집값 중 은행이 빌려주는 비율을 보여주는 ‘대출 허용선’의 자,대출 가능 한도와 금융시장의 건전성을 결정하는 부동산·대출 규제의 핵심 지표,"LTV가 높다고 무조건 이득은 아니며, 부채 부담과 상환 리스크가 함께 커짐",아파트 가격이 5억 원일 때 LTV 60%가 적용되면 최대 3억 원까지 대출이 가능하다.
,주택담보대출,주택을 담보로 제공하고 금융기관에서 자금을 빌리는 대출 형태,집을 잠시 맡기고 돈을 빌리는 ‘집 담보 대출 계약’의 개념,"개인의 주거 자금 조달 수단이자, 금융시장의 부채 규모와 금리 정책에 직접 영향을 주는 주요 대출 형태","집을 담보로 잡히면 소유권이 넘어간다고 생각하기 쉽지만, 대출 상환 시 소유권은 여전히 대출자에게 있음",신혼부부가 내 집 마련을 위해 주택담보대출 2억 원을 받아 20년 동안 분할 상환하기로 했다.
,주담대,주택을 담보로 제공하고 금융기관에서 자금을 빌리는 대출 형태,집을 잠시 맡기고 돈을 빌리는 ‘집 담보 대출 계약’의 개념,"개인의 주거 자금 조달 수단이자, 금융시장의 부채 규모와 금리 정책에 직접 영향을 주는 주요 대출 형태","집을 담보로 잡히면 소유권이 넘어간다고 생각하기 쉽지만, 대출 상환 시 소유권은 여전히 대출자에게 있음",신혼부부가 내 집 마련을 위해 주택담보대출 2억 원을 받아 20년 동안 분할 상환하기로 했다.
,분양가상한제,"신규 주택 분양 시, 정부가 정한 기준에 따라 분양가의 상한선을 제한하는 제도",집값이 과열되지 않도록 뚜껑을 덮는 ‘가격 캡(cap)’ 제도,주택시장 안정과 실수요자 보호를 위한 정부의 대표적 부동산 가격 규제 수단,"분양가상한제가 적용되면 집값이 무조건 내려가는 것은 아니며, 공급 위축 등 부작용이 함께 발생할 수 있음","정부는 서울 주요 재건축 단지에 분양가상한제를 적용해 분양가를 평당 3,000만 원 이하로 제한했다."
